ABS 		data_type       	#ABS (absolute), REL (tangential), DIF (differential coorinates) or CPV (camera pointing vector)
9		moon_entry         	#Target body
0		time_entry             	#First time entry (python, so starting at 0)
3		amount_time_entries  	#Amount of time entries
DATE		time_type          	#JD, MJD, J2000, DATE, MINsinceJDaddingtheJD 
utc		time_scale		#time scale,lower case, gmt=ut1
0		time_delta         	#hours away from standard time scale (i.e. utc-3 is -3)
3		RA_entry           	#First RA or X entry
6		DEC_entry             	#First DEC or Y entry
1		number_observatories  	#Amount of observatories, needs extra definition which one if 1
286		observatory       	#Ignored if more than 1 observatory
10		observatory_entrace	#Ignored if 1 observatory
0		relative_body_entry  	#Ignored if ABS, can either be a name or entry position
0		process_relative       	#Switch for processing relative observations or not
J2000   	Epoch of equinox        #J2000, B1950
Jupiter       central_body            #name or number
2016 04       28.579616    10 58  1.9614     +7 57 33.785     	6
2016 04       28.580659    10 58  1.9489     +7 57 33.908     	6
2016 04       28.581703    10 58  1.9371     +7 57 33.992     	6
2016 04       28.582746    10 58  1.9261     +7 57 34.074     	6
2016 04       29.529583    10 57 52.5656     +7 59  4.792     	6
2016 04       29.530627    10 57 52.5583     +7 59  4.855     	6
2016 04       29.531671    10 57 52.5472     +7 59  4.949     	6
2016 04       29.532714    10 57 52.5339     +7 59  5.047     	6
2016 04       29.533759    10 57 52.5260     +7 59  5.163     	6
2016 04       29.534804    10 57 52.5129     +7 59  5.266     	6
2016 04       29.535848    10 57 52.5061     +7 59  5.379     	6
2016 04       29.536892    10 57 52.4918     +7 59  5.476     	6
2016 04       29.537935    10 57 52.4816     +7 59  5.531     	6
2016 04       29.540023    10 57 52.4618     +7 59  5.764     	6
2016 04       29.541066    10 57 52.4501     +7 59  5.826     	6
2016 04       29.542110    10 57 52.4381     +7 59  5.941     6
2016 04       29.543154    10 57 52.4281     +7 59  6.032     6
2016 04       29.544200    10 57 52.4173     +7 59  6.138     6
2016 04       29.545244    10 57 52.4073     +7 59  6.224     6
2016 04       29.546288    10 57 52.3970     +7 59  6.312  6
2016 04       29.547331    10 57 52.3850     +7 59  6.471  6
2016 04       29.548375    10 57 52.3749     +7 59  6.543  6
2016 04       29.549419    10 57 52.3638     +7 59  6.649  6
2016 04       29.550462    10 57 52.3542     +7 59  6.734  6
2016 04       29.551506    10 57 52.3420     +7 59  6.788  6
2016 04       29.552550    10 57 52.3327     +7 59  6.937  6
2016 04       29.554637    10 57 52.3108     +7 59  7.117  6
2016 04       29.555680    10 57 52.3010     +7 59  7.250  6
2016 04       29.556724    10 57 52.2898     +7 59  7.345  6
2016 04       29.557768    10 57 52.2796     +7 59  7.410  6
2016 04       29.558812    10 57 52.2686     +7 59  7.523  6
2016 04       29.559855    10 57 52.2564     +7 59  7.572  6
2016 04       29.560899    10 57 52.2468     +7 59  7.705  6
2016 04       29.562986    10 57 52.2257     +7 59  7.898  6
2016 04       29.564030    10 57 52.2145     +7 59  7.989  6
2016 04       29.565074    10 57 52.2047     +7 59  8.085  6
2016 04       29.566117    10 57 52.1936     +7 59  8.144  6
2016 04       29.567161    10 57 52.1809     +7 59  8.299  6
2016 04       29.568205    10 57 52.1720     +7 59  8.385  6
2016 04       29.569249    10 57 52.1611     +7 59  8.469  6
2016 04       29.570292    10 57 52.1504     +7 59  8.550  6
2016 04       29.571336    10 57 52.1411     +7 59  8.691  6
2016 04       29.572380    10 57 52.1297     +7 59  8.763  6
2016 04       29.573423    10 57 52.1191     +7 59  8.871  6
2016 04       29.574467    10 57 52.1070     +7 59  8.999  6
2016 04       29.576554    10 57 52.0882     +7 59  9.149  6
2016 04       29.577598    10 57 52.0798     +7 59  9.264  6
2016 04       29.578641    10 57 52.0638     +7 59  9.370  6
2016 04       29.579685    10 57 52.0584     +7 59  9.448  6
2016 04       29.580729    10 57 52.0449     +7 59  9.573  6
2016 04       29.581773    10 57 52.0342     +7 59  9.624  6
2016 04       29.582816    10 57 52.0234     +7 59  9.752  6
2016 04       29.583860    10 57 52.0129     +7 59  9.828  6
2016 04       29.584904    10 57 52.0016     +7 59  9.913  6
2016 04       29.585950    10 57 51.9924     +7 59 10.032  6
2016 04       29.586994    10 57 51.9812     +7 59 10.152  6
2016 04       29.588037    10 57 51.9698     +7 59 10.213  6
2016 04       29.589081    10 57 51.9579     +7 59 10.330  6
2016 04       29.590125    10 57 51.9500     +7 59 10.441  6
2016 04       29.591169    10 57 51.9370     +7 59 10.460  6
2016 04       29.592212    10 57 51.9268     +7 59 10.618  6
2016 04       29.593258    10 57 51.9162     +7 59 10.720  6
2016 04       29.594301    10 57 51.9068     +7 59 10.812  6
2016 04       29.595348    10 57 51.8970     +7 59 10.875  6
2016 04       29.596393    10 57 51.8854     +7 59 10.977  6
2016 04       29.598482    10 57 51.8626     +7 59 11.226  6
2017 04       28.602164    13  0 24.7821     -4 35  0.935  6
2017 04       28.604132    13  0 24.7432     -4 35  0.781  6
2017 04       28.612002    13  0 24.5686     -4 35  0.059  6
2017 04       28.613981    13  0 24.5257     -4 34 59.951  6
2017 04       28.615949    13  0 24.4860     -4 34 59.798  6
2017 04       28.617905    13  0 24.4410     -4 34 59.609  6
2017 04       28.623808    13  0 24.3135     -4 34 59.140  6
2017 04       28.625775    13  0 24.2706     -4 34 58.995  6
2017 04       29.527338    13  0  5.5652     -4 33 45.262  6
2017 04       29.529421    13  0  5.5249     -4 33 45.101  6
2017 04       29.531505    13  0  5.4801     -4 33 44.916  6
2017 04       29.535671    13  0  5.3874     -4 33 44.574  6
2017 04       29.539850    13  0  5.3022     -4 33 44.205  6
2017 04       29.541921    13  0  5.2554     -4 33 44.121  6
2017 04       29.544005    13  0  5.2146     -4 33 43.925  6
2017 04       29.546100    13  0  5.1703     -4 33 43.765  6
2017 04       29.548171    13  0  5.1255     -4 33 43.575  6
2017 04       29.713877    13  0  1.5922     -4 33 30.323  6
2017 04       29.716088    13  0  1.5467     -4 33 30.101  6
2017 04       29.718287    13  0  1.4965     -4 33 29.933  6
2017 04       29.720486    13  0  1.4524     -4 33 29.744  6
2017 04       29.724884    13  0  1.3607     -4 33 29.393  6
2017 04       29.727083    13  0  1.3106     -4 33 29.255  6
2017 04       29.729282    13  0  1.2656     -4 33 29.023  6
2017 04       29.731481    13  0  1.2210     -4 33 28.852  6
2017 04       29.733681    13  0  1.1723     -4 33 28.696  6
2017 04       29.735880    13  0  1.1273     -4 33 28.533  6
2017 04       29.738079    13  0  1.0795     -4 33 28.335  6
2017 04       29.740278    13  0  1.0329     -4 33 28.155  6
2017 04       29.744676    13  0  0.9412     -4 33 27.838  6
2017 04       29.746875    13  0  0.8909     -4 33 27.627  6
2017 04       30.541944    12 59 44.7693     -4 32 24.922  6
2017 04       30.546343    12 59 44.6793     -4 32 24.585  6
2017 04       30.550741    12 59 44.5866     -4 32 24.154  6
2017 04       30.557338    12 59 44.4522     -4 32 23.670  6
2017 04       30.563935    12 59 44.3130     -4 32 23.158  6
2017 04       30.566123    12 59 44.2683     -4 32 22.985  6
2017 04       30.570521    12 59 44.1725     -4 32 22.657  6
2017 04       30.572720    12 59 44.1311     -4 32 22.489  6
2017 04       30.574931    12 59 44.0848     -4 32 22.341  6
2017 04       30.577130    12 59 44.0370     -4 32 22.136  6
2017 04       30.579317    12 59 43.9926     -4 32 22.002  6
2017 04       30.581516    12 59 43.9459     -4 32 21.785  6
2017 04       30.588113    12 59 43.8089     -4 32 21.284  6
2017 04       30.590312    12 59 43.7578     -4 32 21.111  6
2017 05        1.549074    12 59 24.4982     -4 31  7.824  6
2017 05        1.553472    12 59 24.4044     -4 31  7.529  6
2017 05        1.555671    12 59 24.3595     -4 31  7.304  6
2017 05        1.557870    12 59 24.3172     -4 31  7.170  6
2017 05        1.560081    12 59 24.2722     -4 31  6.986  6
2017 05        1.562280    12 59 24.2232     -4 31  6.833  6
2017 05        1.564479    12 59 24.1809     -4 31  6.690  6
2017 05        1.568877    12 59 24.0901     -4 31  6.288  6
2017 05        1.571076    12 59 24.0454     -4 31  6.160  6
2017 05        1.573275    12 59 24.0004     -4 31  6.044  6
2017 05        1.575475    12 59 23.9522     -4 31  5.879  6
2017 05        1.579873    12 59 23.8623     -4 31  5.555  6
2017 05        1.679734    12 59 21.8064     -4 30 58.018  6
2017 05        1.681933    12 59 21.7567     -4 30 57.915  6
2017 05        1.684132    12 59 21.7122     -4 30 57.680  6
2017 05        1.688530    12 59 21.6217     -4 30 57.374  6
2017 05        1.690729    12 59 21.5803     -4 30 57.246  6
2017 05        1.695127    12 59 21.4859     -4 30 56.865  6
2017 05        1.697326    12 59 21.4422     -4 30 56.752  6
2017 05        1.699537    12 59 21.3958     -4 30 56.601  6
2017 05        1.701736    12 59 21.3505     -4 30 56.394  6
2017 05        1.703935    12 59 21.3053     -4 30 56.274  6
2017 05        1.708333    12 59 21.2177     -4 30 55.918  6
2017 05        2.532894    12 59  5.0627     -4 29 55.153  6
2017 05        2.537303    12 59  4.9764     -4 29 54.882  6
2017 05        2.539491    12 59  4.9313     -4 29 54.730  6
2017 05        2.541690    12 59  4.8858     -4 29 54.582  6
2017 05        2.543889    12 59  4.8430     -4 29 54.422  6
2017 05        2.548299    12 59  4.7532     -4 29 54.074  6
2017 05        2.550498    12 59  4.7105     -4 29 53.944  6
2017 05        2.637338    12 59  2.9539     -4 29 47.618  6
2017 05        2.639537    12 59  2.9072     -4 29 47.500  6
2017 05        2.641736    12 59  2.8609     -4 29 47.352  6
2017 05        2.643935    12 59  2.8195     -4 29 47.191  6
2017 05        2.646134    12 59  2.7738     -4 29 46.980  6
2017 05        2.648333    12 59  2.7283     -4 29 46.819  6
2017 05        2.650532    12 59  2.6857     -4 29 46.734  6
2017 05        2.652731    12 59  2.6392     -4 29 46.544  6
2017 05        2.654931    12 59  2.5969     -4 29 46.437  6
2017 05        2.657130    12 59  2.5512     -4 29 46.244  6
2017 05        2.659329    12 59  2.5068     -4 29 46.040  6
