Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
344095601.1269661,-0.09681414175629408,-0.019255358394174405,-1.307758819568683e-07,7.927703781877848e-07
344099335.3349671,-0.09680621886339011,-0.019253498973257153,1.5142290862857344e-07,3.8786476582938767e-07
344355866.43903565,-0.09589748080679449,-0.019156940091676608,-1.2288820896988462e-07,6.308369960433824e-07
344359605.8310366,-0.0958822115285065,-0.01915455700318145,1.4160247872874177e-07,8.307532602044865e-07
344441860.35906035,-0.09548188689206105,-0.019125193399980926,4.345278872830427e-08,1.4271534192721036e-06
344445627.3990604,-0.09546461741033954,-0.019123674422942813,-2.4504516978052227e-07,7.827582568925573e-07
344959731.59120893,-0.0918126544744679,-0.018955273266132316,4.5466938723703887e-07,5.7024078032458236e-08
344966095.8152108,-0.09175864949116119,-0.018951142833422117,1.1571001183596774e-07,8.894241108302336e-07
345048342.56723547,-0.09098809984783215,-0.01892757388046496,-8.743206761363531e-08,6.854486694837791e-07
345052518.27923775,-0.09094936495019387,-0.018925825327097825,2.8416568181866e-07,3.131531463342052e-07
