Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
-2037929514.0471852,-2.3394692411541986,0.01237942482062172,6.834095201746493e-06,-3.302415859430391e-06
-2037854155.9672065,-2.3413470480182195,0.012367590362250198,6.8128337820105855e-06,-3.375270504884023e-06
-1940639397.983996,-0.48748040631644973,-0.009568415083242108,5.215697684080034e-06,3.790434703134643e-06
-1940552997.9840238,-0.4883847248931605,-0.009601899545017997,1.6452704312885924e-05,3.2821925271021846e-06
-1940546820.384027,-0.4884586317188357,-0.009601796209384436,1.3131628498586068e-05,4.8378508043650514e-06
-1938657295.5846245,-0.5182697792289405,-0.011805703793043553,1.8109834820645432e-06,-1.1237538600546854e-06
-1938572511.2646496,-0.5199462517953867,-0.011977704649475687,7.254322666461199e-06,-4.6857669272620806e-06
-1938473211.7446792,-0.5219482102191281,-0.01219373982455635,9.248993915300652e-06,-1.879706802315924e-05
-1936140869.6652782,-0.5719326766782908,-0.018888488216993373,8.724856103592415e-06,-2.6564464959653866e-06
-1931502235.1056144,-0.6276312691821407,-0.029070815717502238,-9.744203697936715e-05,-0.0002977891909469038
-1931329253.6656005,-0.6274492742319145,-0.029035347215743034,-8.428152925021859e-05,-0.00025707439889617253
-1874283722.784979,0.7891581580572181,-0.014607350560246058,2.0874163113582256e-06,4.850429848135204e-06
-1874280370.464981,0.7891985357470161,-0.014609644401726622,4.565735040373831e-06,6.121606027538473e-06
-1871695869.985507,0.7965114546504841,-0.020347501263001302,4.015319532979511e-06,4.05459874800243e-06
-1871689813.3455079,0.796476699306695,-0.020362702916423323,6.7129230155726916e-06,5.822854042672465e-06
