Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
-170336853.664961,-0.3349076249139344,-0.03385303200101925,-6.030230791376212e-07,4.045241928582466e-07
-168523681.409378,-0.36195278843067613,-0.034250484355148485,8.385746608219335e-08,-7.187941192740577e-07
-139061578.624865,-0.1035406802291797,-0.03957834533277781,1.5641528355869738e-07,-2.6509629735133045e-07
-139061578.624865,-0.10354206848907851,-0.03957855713722498,-1.2318446152570495e-06,-4.769007445198925e-07
-137161069.793352,-0.12694563576047962,-0.04062998100922162,-4.3026790097489e-07,-4.321200237217271e-07
-136911858.497371,-0.13113108292115888,-0.040432968872819226,-6.715717499883311e-07,4.09348975265178e-07
-136910122.72139,-0.13115708512219001,-0.04043350034656695,-2.7976751929004173e-07,9.528910160927495e-09
-136647467.585434,-0.13452248802194505,-0.040827598375869766,6.346166362969363e-07,-4.045100823954484e-07
-136645508.897446,-0.13456165493082856,-0.04082287591185162,1.1226002104847144e-06,-3.6968196413800225e-07
-135266632.289641,-0.15610886821710473,-0.04097022827544818,2.1624886653581754e-07,-3.894988515260045e-07
-135266632.289641,-0.15610930622545913,-0.04096935520516945,-2.2175948785618793e-07,4.835714272066749e-07
-135181630.241624,-0.1570096538923421,-0.04120629548472208,-1.9278898982788562e-07,-4.890168579102516e-08
-135179496.161628,-0.15703793069503663,-0.041208669938940366,-4.5311128518688015e-07,7.906353028733215e-07
-135179496.161628,-0.15703750206236863,-0.041209439480354715,-2.4478617188794516e-08,2.1093888524781335e-08
-135007667.29762,-0.16026531842931435,-0.04091970942917167,2.120660190785273e-07,2.384637493024755e-07
-135007667.29762,-0.16026568079616887,-0.04091957487721547,-1.5030083544420592e-07,3.730157055042982e-07
-135005563.457613,-0.16030672551227848,-0.04091528509500757,1.3286997166406245e-07,-3.46048801322385e-07
-134926516.961642,-0.161575028878138,-0.040873588509514426,6.817911271661536e-08,-1.666436340377886e-07
-134926516.961642,-0.16157551832223194,-0.040872996039900446,-4.212649812318503e-07,4.258259799425068e-07
-134926516.961642,-0.16157488489844246,-0.040872998655990395,2.1215880824376754e-07,4.232098899936698e-07
-134924466.68964,-0.16160048355333778,-0.04087538882713036,4.1605021200430414e-07,7.900545392486302e-07
-134924466.68964,-0.16160093709605328,-0.04087637348894531,-3.749250349072142e-08,-1.9460727569697855e-07
-134924466.68964,-0.16159993478857437,-0.04087558572544921,9.648149754126756e-07,5.931562204047891e-07
-132940980.161673,-0.18887535077137302,-0.04061896381017513,-1.929036906350712e-06,-1.2025603911280935e-06
-132940980.161673,-0.1888741681851415,-0.04061745408137223,-7.464506748267041e-07,3.071684117686435e-07
-132420351.041637,-0.19405654372278516,-0.040718975058884825,-2.0343241527442935e-07,-2.218284425523076e-07
-132420351.041637,-0.1940565546208003,-0.04071829190010153,-2.1433043040364197e-07,4.6133034074108403e-07
-132418397.537649,-0.19407782787884462,-0.04071829727653425,-6.713643463107655e-07,-2.73532005205801e-07
-132418397.537649,-0.19407754071516264,-0.04071799096330203,-3.842006643384188e-07,3.278122701066977e-08
-132337080.449648,-0.19517876852968008,-0.04054842726779923,-5.233157557849033e-07,-1.3169208959509793e-06
-131130508.769453,-0.20479339130654564,-0.03984546175950712,1.08824273406527e-06,1.789128049350941e-06
-131130508.769453,-0.2047938457702811,-0.039846502131457004,6.337789986154974e-07,7.487560994695608e-07
-131130508.769453,-0.20479389751558427,-0.03984768138741116,5.820336954343031e-07,-4.3049985468807117e-07
-130872746.465376,-0.20563296303014,-0.03993477816725301,5.034767542877461e-07,4.976915204263355e-07
-130870703.105387,-0.20564159324516396,-0.039935427915833197,-9.280902546482395e-08,7.363416106020981e-08
-106663157.881075,0.11964514882987154,-0.044134228955851354,-9.63041529508657e-07,-2.6491292610952843e-07
-106663157.881075,0.11964574630484211,-0.044134149588575596,-3.655665589408219e-07,-1.8554565035105997e-07
-106231821.433179,0.11553937987239839,-0.044430104528909456,9.901312027355003e-07,3.0143010069927367e-07
-106229988.889186,0.1155162743029947,-0.04442792433709965,2.2795066458025648e-07,7.128380562354542e-07
-106227390.841198,0.11548347148440388,-0.04442540343526267,-3.564507344705481e-07,4.853010571390093e-07
-105887748.985264,0.11182276863834452,-0.04469472411622773,-4.139036934441842e-07,-3.991805857667119e-07
-105632150.137326,0.10821572110198686,-0.04453949449295354,3.240116997343945e-07,5.746401144229862e-07
-105632150.137326,0.10821523810604756,-0.04453835701269045,-1.589842395649521e-07,1.7121203775144478e-06
-105280763.065396,0.10380267385239017,-0.044696486974941205,3.6181096121912226e-07,1.1710212114574015e-06
-105279238.969378,0.10378225142311671,-0.04469824598649133,4.324495574414833e-07,9.251933237031107e-07
-101394758.04166,0.04555225164730277,-0.04536716979563901,-3.030813764681728e-07,-1.0657335558217351e-06
-101393955.385664,0.045539233283685795,-0.04536656116505735,-3.212258767038012e-07,-1.0056149282386406e-06
-101393955.385664,0.04553957747048187,-0.0453665140978969,2.296091937414868e-08,-9.585477677917509e-07
-101220518.617643,0.04372034948956739,-0.045683071518621214,4.0551215185063993e-07,-3.1118663184476203e-07
-73479978.033449,0.34103024420292044,-0.04717449419208669,-1.9159712061345147e-07,-1.0510091513760145e-07
-73479978.033449,0.34103039387310796,-0.047174153538377166,-4.1926933092018004e-08,2.3555279438786103e-07
-73478476.401441,0.34101874403658927,-0.04717482123575466,6.524076423541914e-08,4.490865520706544e-07
-73478476.401441,0.34101810698067864,-0.04717529218918343,-5.718151463995902e-07,-2.186687670518994e-08
-71929927.473633,0.32148045721755114,-0.048034014506923295,4.8596159041292e-07,2.1754046281019512e-07
-68743492.881583,0.2722235054191601,-0.04809206197165635,-2.557192507746109e-08,2.3024624665884952e-07
-68743492.881583,0.2722234547880629,-0.04809197941652725,-7.620302222566266e-08,3.1280137575973033e-07
-66848016.849245,0.24882121608171512,-0.04715866774250627,-7.755300920342378e-07,3.240777470200906e-07
-66754685.841215,0.24779693617904455,-0.04693102662375222,5.77240567428694e-07,-1.0076293562449878e-06
