Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
538582401.5686312,-2.774274902273656,0.022859897428415328,1.209855860828668e-06,-2.6924065620742565e-07
538586355.2326324,-2.7742443521382203,0.02286907853343468,6.149759843587788e-07,3.881140537911887e-07
538593917.8246348,-2.7741855673618923,0.02288546119135602,7.575090599232226e-07,5.290487519009346e-07
538669360.5766574,-2.7735847250842793,0.023063379947431073,1.5056639859345466e-06,-1.1225441759465937e-07
538676630.2726597,-2.7735326907388416,0.02307912608849642,1.0590322596648605e-06,-7.148733778897243e-08
538682724.9286616,-2.7734888730037257,0.02309208273462498,1.526201569124197e-06,-3.2469973560572685e-07
539186411.0088154,-2.7705771733874873,0.02429414901038135,-1.045334509175433e-06,7.706122091000189e-07
539193173.5368164,-2.7705518319774063,0.024308530369611656,9.105932452513343e-08,1.3120942697619764e-07
539200691.2008196,-2.770526056590017,0.02432569944640717,-1.9211658752738003e-07,5.373670510823436e-07
539273066.7528397,-2.770256421812964,0.024502686286321847,4.999792846405171e-08,1.6185247147734727e-07
539276989.3128408,-2.7702449636471713,0.02451095600523179,-2.1280961526315423e-07,-3.2189534981616474e-07
539280459.1368428,-2.7702343563486216,0.024519405889049092,3.122124327958886e-07,4.054236609624118e-07
539359833.0888658,-2.7699898387032675,0.02471239918581894,-4.529330022151612e-08,-3.2743882469321584e-07
539366300.1288667,-2.7699756832224187,0.02472750233429413,-9.765452393395435e-07,3.120248288877858e-07
539369223.0408684,-2.769968243288047,0.02473415440276238,-1.15264123135006e-07,4.1927630544530414e-07
540996101.3452749,-2.7748860356433913,0.02876985571350505,2.833357659604019e-07,6.455513733086282e-07
541008454.8172777,-2.775000069458275,0.02879761127003924,-6.532440957052188e-07,1.2118587047749152e-07
541013766.6892787,-2.775048843448301,0.028810366833803183,-4.400137854077002e-07,5.139810708848502e-07
541166913.281311,-2.776462073052793,0.02919424716693635,3.396031900138041e-08,3.5422470083881774e-07
541170422.849312,-2.776498205137825,0.029202681924937128,-4.039285155243988e-07,7.518863513952811e-07
