Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
327740169.2571494,-0.06454014494855616,-0.005754458059978602,-1.6422431796392356e-07,1.2247033863094572e-06
327741033.2571492,-0.06450892924655505,-0.0057537027516096585,3.360595150214696e-07,3.1150666282330278e-06
327741899.849149,-0.06447820168263939,-0.005755905789675748,2.7546875221162725e-07,2.0428866286661615e-06
327742752.6171498,-0.06444891138635747,-0.005759599948180474,-7.134849226569928e-07,-5.453966533310733e-07
329551744.840658,-0.0067680660131782715,-0.008811373956693114,2.450940529769713e-06,-6.158760705934907e-08
329552815.3366567,-0.006739611180810951,-0.008811556987782576,1.9375709916190365e-06,1.6567730068972608e-06
329553892.7446574,-0.0067121206560583355,-0.00881396404552138,3.0252599679883585e-07,1.1531734573824032e-06
329554974.472656,-0.006683280093669945,-0.008813257471048193,-7.2098251075077e-08,3.7617215418433297e-06
