Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
615491801.344027,-1.7803667714330358,-0.001198449591549532,-2.2423816758987414e-07,-4.181874870381238e-07
615492673.1200258,-1.7803875752118763,-0.001198866709178053,-5.695737694821901e-07,-2.090775204459383e-07
679527511.263746,-0.5318561480402514,-0.029334546259474136,-1.0610523304421804e-07,3.224587798340839e-07
679530936.159745,-0.5319188958194796,-0.029338401436482076,4.3893838985731293e-07,-2.0831787688260772e-07
689184650.078511,-0.6929756100034474,-0.02694325766895223,-2.1384145676428545e-08,3.8690951497874493e-07
689186140.4785123,-0.6929603562581144,-0.026941734694042596,5.7665912822635335e-08,-1.1314842285337079e-07
690820076.0212417,-0.6658100592792373,-0.025116495244870175,2.463575906608284e-07,-7.712017744757049e-07
690826663.0708443,-0.6656675115586178,-0.025106992686192445,-1.5796974345283488e-06,2.338878879321049e-07
