Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
411751968.848419,1.133406350173746,-0.008233259090364644,-4.880424808728634e-07,1.7976927455618658e-06
411752523.5364192,1.133398637904296,-0.00823381881977678,-2.1505323146708832e-06,1.2826844340268345e-06
411753078.2244184,1.1333937777127472,-0.008233914877935254,-9.62402687987307e-07,1.2358563371353548e-06
411753632.0484196,1.1333862400417545,-0.008233520792278999,-2.463149543219245e-06,1.6836882919136348e-06
418229826.9936374,1.227724551165131,-0.009183957475248517,-1.07222862633094e-06,2.649400173242167e-07
418230132.8496374,1.2277342060105385,-0.00918340063294741,-1.967085248022471e-06,8.905525976810741e-07
418230439.56963736,1.2277463305693188,-0.009184672281325749,-4.2505492570121817e-07,-3.111015671221351e-07
