Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
615321500.8960824,-1.7856141356594515,0.004075563342801494,6.63315697924105e-08,-1.0085260234490162e-07
615326969.1520807,-1.7857279356742168,0.004081615026016828,-4.643902509204878e-07,9.704161811965872e-08
615405652.7680551,-1.7872949107914202,0.004165290892558318,-1.0761381195045772e-06,7.277429366599544e-07
615405999.145654,-1.7873015946761717,0.0041646694948825995,-6.888856440845359e-07,-2.369963823974086e-07
615407170.8160546,-1.7873253024580231,0.004165873574249673,-4.79597518365793e-07,-2.095098158468034e-07
615489166.1440269,-1.7889320641156408,0.004253549577611655,1.623110088555535e-07,6.211045592910414e-07
615490584.7456274,-1.7889611223646258,0.004254236453508604,-4.460547760043454e-07,-4.8745661212351576e-08
615491801.344027,-1.7889855017681604,0.004255361291814502,-4.2087560170323e-07,-1.135685279984866e-07
615492673.1200258,-1.7890031518543594,0.004256629402128005,-5.834984000419041e-07,2.8678223151345356e-07
615494386.3456253,-1.7890376932430545,0.004258262460688761,-7.675870188350586e-07,1.764681735573828e-07
615576780.0639985,-1.7906224427658113,0.0043449270365700805,-2.0807003031642068e-07,-2.8587653466520535e-07
615577288.9599992,-1.7906326515438817,0.004345911513186559,-3.9623603109717465e-07,2.0390352720427857e-07
615578213.5263989,-1.790650972709816,0.004347104257717116,-5.11191932561772e-07,4.868813300307195e-07
615748974.3999431,-1.7938436097408434,0.004526748585469134,1.2761109258185854e-07,9.540334538170325e-08
615750590.9439417,-1.793874776027944,0.004528148420613217,-4.620817180001069e-07,-8.427945253144942e-08
615751054.0479425,-1.7938836049982991,0.004528764272513225,-5.319528315617106e-07,7.103968999166987e-08
615752584.191942,-1.7939120974241534,0.0045304196109507856,-9.062044759033938e-08,1.7871567469136818e-07
615839097.3759127,-1.7954779991470633,0.0046215472479160585,-3.608658971643308e-08,3.4494203535791884e-07
615839829.1839135,-1.7954915090251655,0.004621705966387032,-1.5097826544518966e-08,-2.5403412248509866e-07
615924031.9454848,-1.7969798540083606,0.00471008357455365,-2.3156019346437517e-07,-3.1517904559331955e-07
615925333.2158854,-1.7970035806923634,0.004711190764356541,-4.31222569208245e-07,-5.315602839136777e-07
615926878.047884,-1.7970314123323268,0.004712873493190349,-3.552791907335262e-07,-4.580963037029151e-07
681167308.9592342,-0.5046923922501972,-0.020923583272843656,1.244260944277542e-07,1.6542135722677487e-07
681168693.0872339,-0.5047275868203805,-0.020922101865080353,2.8613885139083806e-07,1.433219484342496e-07
683325464.3186877,-0.5646554475110495,-0.018581542545409398,2.2297438029283967e-07,5.068057283216798e-07
683325708.7442865,-0.5646627605576661,-0.01858091885394563,4.129134845154425e-08,7.566511468562465e-07
683408252.0210705,-0.5670193163027256,-0.01847611420530944,4.7227153299189695e-07,3.89892996260216e-07
683413023.8066695,-0.5671584239374531,-0.0184689257897891,1.777263346491864e-07,2.5805567448883293e-07
683750008.8626044,-0.5766772858193412,-0.018028425498473853,-7.415031588742238e-09,3.5157669673463454e-07
683751971.0066041,-0.5767326005323504,-0.018025267842615416,6.738298379271868e-07,4.897900060703286e-07
684347975.4865057,-0.5929089903567839,-0.01721672704603477,4.5725335751090057e-07,2.3193443282956694e-07
684357041.5249044,-0.5931513011258714,-0.017203470531270224,7.980062134427257e-07,-6.944252634900894e-07
684522270.2064809,-0.5974197670829187,-0.0169748415590936,3.237965449098823e-07,2.8148681005188414e-07
684531555.6144795,-0.5976620274131299,-0.016959785328204045,2.956001434739619e-07,5.166500226874704e-07
