Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
-3342853715.615311,0.9126875132746252,-0.009943194907240816,1.0794497073418619e-05,-1.062981051668313e-05
-3171957021.2158227,-2.5770349666655634,0.027632805287327263,1.2942523432535324e-05,-6.770127439700846e-07
-3171952269.215824,-2.57703497546569,0.027634917465192435,9.065749275727342e-06,7.485819813149441e-06
-3171869152.4158506,-2.576914292717253,0.027528027279071846,6.3713667812770325e-06,-1.6188511733766786e-06
-3171862758.8158517,-2.576890345404919,0.027512596102118467,2.196376071594841e-05,-8.554209305636218e-06
-3171611084.2559333,-2.5763037567767153,0.027188690583799382,5.644817190564311e-06,2.702896738118049e-06
-3171606150.815935,-2.576297039056213,0.027174624998908967,-7.341596250931559e-07,-3.6522041832152963e-06
-3171522256.415963,-2.576007936661064,0.027069506094228958,1.0659458354211893e-05,1.52670382931111e-05
-3171517331.615964,-2.5759946961680638,0.02705631693295056,8.331933547101045e-06,9.998732036817226e-06
-3170568486.8162713,-2.5702226787261626,0.025266938391482006,-1.8173034583846004e-06,-1.4540659663966199e-05
