Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
-1928919470.4012148,-0.6046125975659278,-0.026577283407282756,8.840627643280641e-07,-1.0572697756588978e-06
-1928833851.457195,-0.6031127339324486,-0.02644516892264591,4.9628904978948896e-06,-6.278736799356088e-06
-1928226424.033046,-0.5912102461335998,-0.025389203972315696,6.944985919576929e-06,-3.047703059363277e-06
-1903426176.673483,0.14182722473858952,-0.02940698460549522,-2.0071740133575933e-06,-1.8153779857560393e-06
-1898508508.9934404,0.0031125447496721742,-0.019024409205251915,3.5474542630985033e-06,-3.9432516621661085e-06
-1895737514.9767873,-0.014372363099929184,-0.017123257568527256,1.6843887156026485e-05,1.3028298501416291e-06
-1104055218.9892097,0.8310566410697874,-0.01554237759038415,-3.803121062406767e-06,6.775745445030887e-06
-1103883784.9705796,0.8308183819622772,-0.01501830158082106,-6.764924310065368e-06,8.137770356880791e-09
-1101898128.9081666,0.8426152654407407,-0.009713918752291424,5.559874445393298e-06,-2.7489922189549015e-06
-1101810528.8108256,0.8437343997863205,-0.009521389021608942,-2.5791440209088634e-06,-2.440799086747547e-06
