Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
714594353.0163686,0.14809501404863262,-0.01978239421904768,-7.120820988693044e-07,1.2882070496121611e-06
714594509.9187676,0.14809278064075135,-0.01978317821092559,-6.56038422502947e-07,5.463757871450314e-07
714594782.2515675,0.14808896299066387,-0.019783230984178734,-4.990252001624285e-07,5.666999252536276e-07
714595736.7123682,0.14807567758629317,-0.01978323742346642,1.53971753735771e-07,8.160241836870086e-07
