Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
369782715.9744112,0.6489331156370475,-0.037002101643668,-8.057119127435897e-07,1.2119132587612436e-06
369784254.75841105,0.6489107504153193,-0.03700367415957034,-1.1765163919763566e-06,1.1182270056031562e-06
369785791.8144099,0.6488893731057631,-0.03700455966916957,-5.584562932092751e-07,1.7305242944465338e-06
370123335.87838423,0.6438829882417202,-0.03738844808507933,-1.2021852824339874e-06,1.6999089950328616e-06
370124867.7503851,0.643857602506008,-0.03738998336355039,-1.2629246857187582e-06,1.4511521289964358e-06
370126399.62238497,0.6438325320621087,-0.03739060148721923,-9.538776936102167e-07,2.1285543727045386e-06
370471521.830367,0.6379401140084703,-0.03774645318602597,-2.0297002245595053e-07,1.013828095822178e-06
370473055.430367,0.637910356472668,-0.03774747249604447,-1.193877157135148e-06,1.1357347811311036e-06
370474589.8943659,0.6378814308907845,-0.037748265691694205,-1.3103506444345214e-06,1.5036926791500704e-06
