Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
267657401.32825577,-1.2542710708369016,-0.0020358818917556813,2.574818858125383e-07,-1.2874038395928322e-07
267657788.22745466,-1.2542796830179892,-0.002036822340524094,2.9391619138507963e-07,-3.9449246138842375e-08
267658177.97785553,-1.2542883748315874,-0.0020378499065990484,3.1356958429817894e-07,-3.2058537485692845e-08
267740295.47542888,-1.2560780191002106,-0.002265685869895184,6.097382945213781e-07,-1.329922351242692e-07
267740681.85622874,-1.2560863559110282,-0.0022666204965985865,9.614061700080612e-07,-1.616111527328462e-08
267741068.23702863,-1.256095337821272,-0.002267810915615994,6.686198146255151e-07,-1.576780854625412e-07
268773215.596694,-1.2790669369983987,-0.005121837040573093,2.9056512929059863e-07,2.2425645398744393e-07
268773482.0542939,-1.2790729337872335,-0.005122748878374826,3.752204134066517e-07,2.9015913118393688e-08
268864766.24626315,-1.2811007157903653,-0.00536975755480564,8.591982312289304e-07,2.58466800498805e-07
268865032.61746305,-1.2811069410886151,-0.005370352737738201,6.871741593528213e-07,3.5138827494691355e-07
270586930.4441154,-1.3160782180245338,-0.009590071870520382,-4.3621163836604637e-07,5.041019344471237e-07
270587200.61691636,-1.3160830788989029,-0.009590855559229313,-3.8814550351595756e-07,2.6178330228381064e-07
270673209.4840909,-1.317579832049828,-0.009769863403510857,-1.2334391952251167e-07,5.919778134043374e-07
270673557.67608976,-1.3175861536029945,-0.009770490738727775,-2.460937316151046e-07,6.463283911874868e-07
270673824.0472897,-1.3175905725680968,-0.009770935427605452,7.594059692195287e-08,7.217975932297116e-07
271278432.4983178,-1.327161653594562,-0.010918167186843316,-1.978180241835048e-08,6.683777384140083e-07
271278698.86951673,-1.3271657550050162,-0.01091885746791204,-1.5329654079465627e-07,4.0108365357421905e-07
271278965.3271177,-1.327169820947216,-0.0109192102444873,-2.5157008987086726e-07,4.70364430491671e-07
271365649.66949266,-1.3283938442325471,-0.01106609628434791,2.2255217868583088e-07,5.642139748116004e-07
271365915.9542926,-1.3283978481617684,-0.011066506332724668,5.9372701866067246e-08,5.589012841318575e-07
271366182.3254936,-1.3284015511536946,-0.011066606631610429,1.9664313199996286e-07,8.624612260841463e-07
271450672.1942703,-1.329555845326674,-0.011206008977649062,8.290948882994087e-08,5.408833645970113e-07
271450938.65187025,-1.3295594652440004,-0.01120660712013342,1.913374059192563e-07,3.379858230147942e-07
271451205.02307016,-1.3295630349706118,-0.011206723058918603,3.472360927680995e-07,6.160940488521977e-07
272397131.5764258,-1.3397746977703477,-0.012440615559282666,3.5335279924275653e-07,5.908185121122206e-07
272397397.94762576,-1.3397770785302459,-0.012440962637860709,2.6189369983775634e-07,4.7480663228904874e-07
272397664.31882566,-1.3397791938059092,-0.012441336212384609,4.3463238053043085e-07,3.3117974443212794e-07
272571548.2067848,-1.3410873255619014,-0.012600115127100239,1.9295458719703618e-07,6.506064793611321e-07
272571815.52838475,-1.341089430803149,-0.012600393388215355,9.440145043448922e-08,5.629010532502005e-07
272572081.81318367,-1.3410909435363643,-0.01260077917347963,5.788598704814518e-07,3.6591650892300875e-07
