Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
28062432.534867704,1.1531824499832284,-0.007537162715890239,2.438888332623179e-06,-2.2368365139562724e-07
28064958.006869316,1.1530996341796953,-0.007533470943558494,-1.8017958667293499e-06,1.8235208226764082e-06
28066219.44686862,1.1530626597666962,-0.0075319093246031905,4.715754289286167e-07,2.603167923155743e-06
28067482.614869926,1.153022339295989,-0.007529760341428088,-5.55693311810046e-07,3.996534814493073e-06
